ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
355,Neither,Neither,Yes,Neither,Neither,Yes,Neither,Neither,Neither,No
356,Yes,Yes,No,Neither,Neither,No,No,No,No,Yes
357,Yes,Yes,Neither,Neither,Neither,Yes,Yes,Yes,Neither,Yes
358,Yes,No,No,No,No,No,No,No,No,No
359,Neither,No,No,No,Neither,No,No,No,No,No
360,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
361,Yes,Yes,Yes,Neither,Yes,Yes,No,Yes,Yes,Yes
362,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
363,Neither,Neither,Neither,Yes,Yes,Yes,Neither,Yes,Neither,Yes
364,Yes,No,No,Yes,No,No,Neither,No,No,Yes
365,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
366,Neither,No,No,No,No,No,No,Neither,Yes,Neither
367,Yes,Yes,No,Yes,Yes,No,No,Neither,Neither,Yes
368,Yes,Yes,Neither,Yes,No,Yes,Neither,No,No,No
369,Neither,No,No,Yes,Neither,Yes,Neither,Yes,Yes,Yes
370,Neither,No,No,Yes,Neither,No,No,Yes,No,Yes
371,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
372,Neither,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
373,Yes,Neither,Neither,No,No,Neither,No,No,Neither,No
374,Yes,Yes,Neither,Yes,Yes,Yes,Neither,Yes,Yes,Yes
375,Yes,Neither,No,Yes,Yes,Yes,Yes,Yes,Yes,No
376,Yes,No,No,Yes,Neither,Yes,Neither,Yes,Yes,Yes
377,Neither,Yes,No,Neither,No,Neither,Yes,Yes,Neither,Neither
378,Yes,Yes,Neither,Yes,Yes,Yes,No,Neither,Yes,Neither
379,Yes,Yes,No,Neither,Yes,Neither,No,No,No,Yes
380,Yes,Yes,No,Yes,Neither,Yes,No,Neither,Neither,Yes
381,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
382,Neither,Yes,Neither,Yes,Yes,Yes,No,Yes,Yes,No
383,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
384,Yes,Yes,Yes,No,Neither,No,Yes,Neither,Neither,Yes
385,Neither,Neither,Neither,Yes,Yes,Yes,No,Yes,Neither,Neither
386,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
387,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
388,Yes,Yes,No,Neither,No,No,Neither,No,No,No
389,Yes,No,No,Neither,No,No,Yes,No,No,No
390,Yes,Yes,Yes,Yes,Yes,No,Neither,Yes,Yes,Neither
391,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
392,No,No,Yes,No,No,Neither,No,No,Yes,Yes
393,Neither,Yes,No,Yes,Yes,Neither,Yes,Yes,Yes,Yes
394,Yes,No,Neither,Yes,Neither,No,No,Yes,Yes,Neither
395,No,No,Neither,Neither,No,Neither,No,Neither,No,Yes
396,Yes,Yes,Neither,Yes,Yes,Neither,No,Neither,Yes,Yes
397,No,No,No,No,No,No,No,No,No,No
398,No,No,No,No,No,No,No,No,No,No
399,Yes,Yes,No,Yes,Neither,Yes,No,Yes,Yes,Yes
400,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
401,Neither,Yes,No,Neither,Yes,Yes,Yes,Yes,Neither,Neither
402,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
403,Yes,No,Yes,Yes,No,Neither,Yes,Yes,No,Yes
404,Yes,Yes,Neither,Yes,Yes,Yes,No,Neither,Neither,No
405,Neither,Yes,Yes,Neither,Neither,No,No,Neither,Neither,Neither
406,Yes,Neither,Neither,Yes,Yes,Yes,No,Yes,Yes,Yes
407,No,Yes,Neither,Yes,Yes,Neither,No,Yes,Yes,Yes
408,Yes,Yes,No,Neither,Yes,Neither,No,Yes,Neither,Yes
409,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Yes,Neither,Yes
410,No,No,No,Neither,No,No,No,No,No,No
411,Yes,Neither,Yes,Yes,Yes,No,No,Neither,Yes,Yes
412,Neither,Yes,No,Yes,Yes,No,No,Yes,Neither,Neither
413,Yes,Yes,Neither,No,Yes,No,Neither,Neither,No,No
414,Yes,Yes,Neither,Yes,Yes,Yes,No,Neither,Neither,Yes
415,No,No,Neither,Neither,Neither,Neither,Neither,No,No,Yes
416,Yes,Neither,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
417,Yes,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
418,Yes,Neither,No,Yes,No,No,Neither,No,Yes,Neither
419,Yes,No,Neither,Yes,Yes,Yes,No,Yes,Yes,No
420,Yes,Neither,Yes,Neither,Yes,Yes,Neither,Neither,Neither,Neither
421,Yes,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes,Neither
422,No,Yes,No,Neither,Neither,No,Neither,Neither,Neither,No
423,Yes,Yes,Yes,Yes,Yes,Yes,Neither,Yes,Yes,Yes
424,Yes,Neither,No,Yes,Yes,Neither,Neither,Yes,Yes,Yes
425,Yes,Yes,No,Yes,Neither,Yes,Yes,Yes,Neither,Yes
426,Neither,Yes,Neither,Yes,Yes,Yes,Yes,Yes,Yes,Yes
427,Yes,Neither,No,Yes,Yes,Yes,Neither,Yes,Yes,Yes
428,Neither,No,No,Yes,No,No,No,Yes,Neither,Yes
429,Neither,No,No,Yes,Neither,Yes,Yes,Neither,Neither,Yes
430,No,Yes,No,Yes,No,No,No,Neither,Neither,Yes
431,Yes,Neither,Neither,Neither,Neither,Yes,Yes,No,No,No
432,Yes,Yes,No,No,Neither,No,No,No,No,Yes
433,Yes,Neither,No,Yes,Neither,Yes,Yes,Yes,Neither,Yes
434,Yes,Yes,Yes,No,Yes,Neither,Yes,No,Neither,Yes
435,Neither,Yes,Yes,Neither,Neither,No,Neither,No,Neither,No
436,Yes,No,No,Neither,No,Neither,No,Neither,No,No
